stem,freq,word0,freq,word1,freq,word2,freq,word3,freq,word4,freq,word5,freq,word6,freq,word7,freq,word8,freq,word9,freq,word10,freq,word11,freq,word12,freq
སྐོམ་གདུང,1,,,,,,,,,,,,,,,,,,,,,,,,,,
རང་རྒྱལ་གྱི་ལམ,1,,,,,,,,,,,,,,,,,,,,,,,,,,
ཆོ་སྒྲུབ,1,,,,,,,,,,,,,,,,,,,,,,,,,,
གཉེར་རིས,1,,,,,,,,,,,,,,,,,,,,,,,,,,
དྲ་ཡོལ,2,,,,,,,,,,,,,,,,,,,,,,,,,,
མྱུལ་བ,1,,,,,,,,,,,,,,,,,,,,,,,,,,
ཡར,389,,,,,,,,,,,,,,,,,,,,,,,,,,
ཚུར་ལམ,1,,,,,,,,,,,,,,,,,,,,,,,,,,
207,2,,,,,,,,,,,,,,,,,,,,,,,,,,
-ཚེ་བརྟན,2,,,,,,,,,,,,,,,,,,,,,,,,,,
དགག་མཁན,2,,,,,,,,,,,,,,,,,,,,,,,,,,
གངས་སྐྱིད,2,,,,,,,,,,,,,,,,,,,,,,,,,,
ཕྱག་འཚལ་,5,,,,,,,,,,,,,,,,,,,,,,,,,,
མེད་མདོག་མདོག,2,,,,,,,,,,,,,,,,,,,,,,,,,,
རང་བྱུང་,2,,,,,,,,,,,,,,,,,,,,,,,,,,
འདི་ཙམ་,5,,,,,,,,,,,,,,,,,,,,,,,,,,
ལོ་རྒྱུས་ལྡན,1,,,,,,,,,,,,,,,,,,,,,,,,,,
གྲྭ་ས,35,,,,,,,,,,,,,,,,,,,,,,,,,,
ངོ་དེབ,7,,,,,,,,,,,,,,,,,,,,,,,,,,
ད་བལ,1,,,,,,,,,,,,,,,,,,,,,,,,,,
གནའ་བོ་པང་ཉལ,1,,,,,,,,,,,,,,,,,,,,,,,,,,
སྟོང་པ་ཉིད,10,,,,,,,,,,,,,,,,,,,,,,,,,,
ཁྲ་ཁྲ,3,,,,,,,,,,,,,,,,,,,,,,,,,,
ཤི་འཕོས་,3,,,,,,,,,,,,,,,,,,,,,,,,,,
འདོན་བཟང,1,,,,,,,,,,,,,,,,,,,,,,,,,,
བླ་མ་སྐྱེས་ཆེན,1,,,,,,,,,,,,,,,,,,,,,,,,,,
རྩད་གཅོད,3,,,,,,,,,,,,,,,,,,,,,,,,,,
གཟི,9,,,,,,,,,,,,,,,,,,,,,,,,,,
