,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
གི,as a prefix,གི་ཝང,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
གུ,as a prefix,གུ་གུལ,གུ་ལང,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
གུ,as an infix,ལུ་གུ་རྒྱུད,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
གུ,as a postfix,ལྗང་གུ,གདུ་གུ,ཕ་གུ,ཕྲུ་གུ,ཕྲུག་གུ,མྱུ་གུ,སྨྱུ་གུ,ཚི་གུ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
གུག,as a postfix,གྲི་གུག,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
གུང,as a prefix,གུང་མོ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
གུར,as a prefix,གུར་ཀུམ,གུར་གུམ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
གོ,as a prefix,གོ་སྐབས,གོ་ཆ,གོ་རིམས,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
གོང,as a prefix,གོང་མ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
གོས,as a postfix,ཆོས་གོས,བླ་གོས,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
གྲངས,as a prefix,གྲངས་མེད,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
